trip_id,passenger_id,entry_station,exit_station,trip_datetime,fare
1,235,1,10,2024-03-12 22:06:00,20.33
2,718,9,6,2024-02-04 10:45:00,50.2
3,1176,4,3,2024-01-10 15:39:00,54.61
4,1108,8,1,2024-01-17 06:30:00,55.16
5,104,2,7,2024-01-07 08:27:00,29.6
6,1444,10,8,2024-03-19 17:19:00,26.62
7,406,9,2,2024-02-29 10:05:00,50.64
8,1884,8,2,2024-02-28 15:43:00,42.22
9,1570,8,4,2024-01-29 10:55:00,54.79
10,529,6,7,2024-01-24 16:50:00,53.04
11,666,8,1,2024-01-09 21:07:00,27.57
12,945,3,5,2024-02-14 10:32:00,15.15
13,1675,2,6,2024-03-12 08:50:00,25.11
14,945,7,10,2024-02-22 13:39:00,22.18
15,326,8,7,2024-01-09 16:13:00,50.7
16,1211,7,10,2024-02-13 13:11:00,43.13
17,160,10,8,2024-01-15 20:20:00,37.75
18,1684,8,3,2024-02-09 18:04:00,39.91
19,1404,10,7,2024-02-11 21:41:00,43.01
20,186,4,3,2024-03-15 06:48:00,17.34
21,306,8,9,2024-02-07 18:39:00,38.9
22,401,4,6,2024-02-08 15:58:00,57.17
23,891,6,2,2024-03-15 06:39:00,59.32
24,828,3,5,2024-01-08 17:57:00,37.44
25,109,1,9,2024-02-15 09:55:00,24.11
26,64,4,7,2024-03-30 18:40:00,25.91
27,784,7,9,2024-01-28 11:30:00,16.95
28,1138,7,6,2024-02-23 10:18:00,59.87
29,1373,3,1,2024-01-10 06:09:00,46.07
30,997,7,3,2024-01-11 10:41:00,50.3
31,1762,8,10,2024-02-24 11:29:00,35.47
32,1131,8,7,2024-02-15 13:11:00,31.24
33,16,10,8,2024-01-31 22:17:00,30.54
34,1119,10,6,2024-01-05 07:36:00,34.16
35,755,2,10,2024-03-02 08:09:00,46.51
36,1079,5,8,2024-03-07 08:33:00,54.5
37,182,4,8,2024-03-21 08:43:00,41.68
38,1635,10,5,2024-03-19 07:57:00,27.18
