 revenue_date | daily_revenue 
--------------+---------------
 2024-01-24   |     377454.43
 2024-03-08   |     351496.96
 2024-02-07   |     343427.50
 2024-02-27   |     343092.31
 2024-01-12   |     342932.42
 2024-01-28   |     339938.46
 2024-01-14   |     336854.13
 2024-01-30   |     335329.37
 2024-01-15   |     331476.78
 2024-02-17   |     329986.22
 2024-03-30   |     326984.84
 2024-02-15   |     326233.50
 2024-03-26   |     324264.76
 2024-03-05   |     313724.39
 2024-03-31   |     313201.46
 2024-01-10   |     312739.54
 2024-03-29   |     312491.46
 2024-02-26   |     311944.27
 2024-01-27   |     308995.13
 2024-02-01   |     307605.45
 2024-02-02   |     307016.09
 2024-01-11   |     306976.82
 2024-02-08   |     304748.06
 2024-01-25   |     300670.88
 2024-03-12   |     300579.00
 2024-02-12   |     300296.44
 2024-01-31   |     296849.97
 2024-03-22   |     295191.13
 2024-03-25   |     292431.50
 2024-03-18   |     292165.14
 2024-01-18   |     291748.84
 2024-03-23   |     291025.02
 2024-03-04   |     290489.09
 2024-02-11   |     289523.55
 2024-03-11   |     289056.24
 2024-01-29   |     288229.72
 2024-01-04   |     287876.90
 2024-01-01   |     286975.62
 2024-03-06   |     286908.73
 2024-02-23   |     284678.25
 2024-02-18   |     282044.50
 2024-03-24   |     281752.28
 2024-02-04   |     279933.32
 2024-02-22   |     279310.46
 2024-03-13   |     278539.07
 2024-03-16   |     278084.54
 2024-02-25   |     277914.04
 2024-01-13   |     277814.03
 2024-03-19   |     277002.75
 2024-01-06   |     275878.07
 2024-03-27   |     274309.16
 2024-03-09   |     273343.98
 2024-01-03   |     272663.04
 2024-01-19   |     271858.15
 2024-02-19   |     271491.00
 2024-01-17   |     269735.70
 2024-03-17   |     268413.92
 2024-01-02   |     268390.79
 2024-01-22   |     267261.75
 2024-03-28   |     266353.36
 2024-01-26   |     266212.92
 2024-03-03   |     264336.65
 2024-01-09   |     263200.18
 2024-02-03   |     262476.31
 2024-02-21   |     261289.10
 2024-02-14   |     261148.25
 2024-02-20   |     260258.36
 2024-02-10   |     259254.46
 2024-03-02   |     257725.25
 2024-03-14   |     252160.26
 2024-01-07   |     252119.25
 2024-02-24   |     251676.30
 2024-03-20   |     243839.89
 2024-03-01   |     242816.31
 2024-02-16   |     242311.23
 2024-01-16   |     239596.78
 2024-02-05   |     233389.34
 2024-02-29   |     229622.85
 2024-01-08   |     226984.38
 2024-02-06   |     226069.20
 2024-02-28   |     225862.34
 2024-01-20   |     223193.13
 2024-01-21   |     222142.46
 2024-03-15   |     220200.03
 2024-02-09   |     214619.05
 2024-01-05   |     204222.67
 2024-03-21   |     200983.44
 2024-01-23   |     191439.12
 2024-02-13   |     184688.57
 2024-03-07   |     177211.09
 2024-03-10   |     167322.89
(91 rows)

  line_name  | line_revenue 
-------------+--------------
 Blue Line   |  12882948.03
 Yellow Line |   7453858.46
 Red Line    |   4857269.85
(3 rows)

