   station_name   | total_trips 
------------------+-------------
 Rithala          |        5060
 Dwarka           |        5058
 Huda City Centre |        5017
 Botanical Garden |        5006
 Rajiv Chowk      |        4998
 Kashmere Gate    |        4994
 AIIMS            |        4981
 Vaishali         |        4973
 Chandni Chowk    |        4967
 Noida Sector 62  |        4946
(10 rows)

 hour_of_day | trips 
-------------+-------
 21          |  3022
 19          |  3013
 08          |  2991
 22          |  2982
 11          |  2981
 09          |  2968
 17          |  2966
 15          |  2959
 16          |  2952
 18          |  2952
 10          |  2951
 06          |  2914
 14          |  2902
 12          |  2901
 20          |  2891
 07          |  2885
 13          |  2770
(17 rows)

 revenue_date | daily_revenue 
--------------+---------------
 2024-01-24   |     377454.43
 2024-03-08   |     351496.96
 2024-02-07   |     343427.50
 2024-02-27   |     343092.31
 2024-01-12   |     342932.42
 2024-01-28   |     339938.46
 2024-01-14   |     336854.13
 2024-01-30   |     335329.37
 2024-01-15   |     331476.78
 2024-02-17   |     329986.22
 2024-03-30   |     326984.84
 2024-02-15   |     326233.50
 2024-03-26   |     324264.76
 2024-03-05   |     313724.39
 2024-03-31   |     313201.46
 2024-01-10   |     312739.54
 2024-03-29   |     312491.46
 2024-02-26   |     311944.27
 2024-01-27   |     308995.13
 2024-02-01   |     307605.45
 2024-02-02   |     307016.09
 2024-01-11   |     306976.82
 2024-02-08   |     304748.06
 2024-01-25   |     300670.88
 2024-03-12   |     300579.00
 2024-02-12   |     300296.44
 2024-01-31   |     296849.97
 2024-03-22   |     295191.13
 2024-03-25   |     292431.50
 2024-03-18   |     292165.14
 2024-01-18   |     291748.84
 2024-03-23   |     291025.02
 2024-03-04   |     290489.09
 2024-02-11   |     289523.55
 2024-03-11   |     289056.24
 2024-01-29   |     288229.72
 2024-01-04   |     287876.90
 2024-01-01   |     286975.62
 2024-03-06   |     286908.73
 2024-02-23   |     284678.25
 2024-02-18   |     282044.50
 2024-03-24   |     281752.28
 2024-02-04   |     279933.32
 2024-02-22   |     279310.46
 2024-03-13   |     278539.07
 2024-03-16   |     278084.54
 2024-02-25   |     277914.04
 2024-01-13   |     277814.03
 2024-03-19   |     277002.75
 2024-01-06   |     275878.07
 2024-03-27   |     274309.16
 2024-03-09   |     273343.98
 2024-01-03   |     272663.04
 2024-01-19   |     271858.15
 2024-02-19   |     271491.00
 2024-01-17   |     269735.70
 2024-03-17   |     268413.92
 2024-01-02   |     268390.79
 2024-01-22   |     267261.75
 2024-03-28   |     266353.36
 2024-01-26   |     266212.92
 2024-03-03   |     264336.65
 2024-01-09   |     263200.18
 2024-02-03   |     262476.31
 2024-02-21   |     261289.10
 2024-02-14   |     261148.25
 2024-02-20   |     260258.36
 2024-02-10   |     259254.46
 2024-03-02   |     257725.25
 2024-03-14   |     252160.26
 2024-01-07   |     252119.25
 2024-02-24   |     251676.30
 2024-03-20   |     243839.89
 2024-03-01   |     242816.31
 2024-02-16   |     242311.23
 2024-01-16   |     239596.78
 2024-02-05   |     233389.34
 2024-02-29   |     229622.85
 2024-01-08   |     226984.38
 2024-02-06   |     226069.20
 2024-02-28   |     225862.34
 2024-01-20   |     223193.13
 2024-01-21   |     222142.46
 2024-03-15   |     220200.03
 2024-02-09   |     214619.05
 2024-01-05   |     204222.67
 2024-03-21   |     200983.44
 2024-01-23   |     191439.12
 2024-02-13   |     184688.57
 2024-03-07   |     177211.09
 2024-03-10   |     167322.89
(91 rows)

  line_name  | line_revenue 
-------------+--------------
 Blue Line   |  12882948.03
 Yellow Line |   7453858.46
 Red Line    |   4857269.85
(3 rows)

   card_type    |      avg_fare       
----------------+---------------------
 Senior Citizen | 34.9445414751586780
 Regular        | 34.8887764046795189
 Student        | 34.8942642184807106
(3 rows)

 passenger_id | trips 
--------------+-------
         1517 |    45
         1414 |    44
         1368 |    42
          949 |    42
          126 |    42
(5 rows)

 gender | trips 
--------+-------
 Female | 24853
 Male   | 25147
(2 rows)

   station_name   | congestion_gap 
------------------+----------------
 Chandni Chowk    |             90
 Dwarka           |             51
 Rajiv Chowk      |             28
 Botanical Garden |             23
 Rithala          |             17
 Huda City Centre |              7
 AIIMS            |            -15
 Vaishali         |            -25
 Kashmere Gate    |            -50
 Noida Sector 62  |           -126
(10 rows)

   station_name   | station_revenue 
------------------+-----------------
 Noida Sector 62  |      2679737.73
 Vaishali         |      2646050.16
 Chandni Chowk    |      2605340.79
 Botanical Garden |      2577708.14
 Rajiv Chowk      |      2500001.21
 Dwarka           |      2479450.79
 Rithala          |      2469215.84
 Huda City Centre |      2463849.31
 Kashmere Gate    |      2388054.01
 AIIMS            |      2384668.36
(10 rows)

   station_name   | total_trips | total_revenue | efficiency_index 
------------------+-------------+---------------+------------------
 Noida Sector 62  |        4946 |    2679737.73 |           541.80
 Vaishali         |        4973 |    2646050.16 |           532.08
 Chandni Chowk    |        4967 |    2605340.79 |           524.53
 Botanical Garden |        5006 |    2577708.14 |           514.92
 Rajiv Chowk      |        4998 |    2500001.21 |           500.20
 Huda City Centre |        5017 |    2463849.31 |           491.10
 Dwarka           |        5058 |    2479450.79 |           490.20
 Rithala          |        5060 |    2469215.84 |           487.99
 AIIMS            |        4981 |    2384668.36 |           478.75
 Kashmere Gate    |        4994 |    2388054.01 |           478.18
(10 rows)

